STATO;LAVORI;NOME_LAVORO;DATA_DI_STAMPA;LARGHEZZA_cm;ALTEZZA_cm;COPIE;AREA_TOTALE_mq;STAMPANTE;SUPPORTO;RISOLUZIONE;TEMPO_RIP;TEMPO_STAMPA;INCHIOSTO_UTILIZZATO_ml;INCHIOSTRO_TOTALE;COSTO_INCHIOSTRO;NUMERO_ORDINE;SCOIETA;CLIENTE;NOTE;PERSONALIZZATO_01;PERSONALIZZATO_02;DUE_PRINT;DUE_DATE;ID_TAGLIO;
OK;MyES_100x70_1.JPG;;16/05/2025 07:46:16;66,00;94,05;6;0,6500;LIYU PCTK Series;Vinile 360x1440_Standard [IMPRINTING];360x1440;00:00:02;00:00:26;;0,00;€0,00;;;;;;;1;;;
OK;MyES_100x70_2.JPG;;16/05/2025 07:46:36;66,00;94,05;8;0,6500;LIYU PCTK Series;Vinile 360x1440_Standard [IMPRINTING];360x1440;00:00:04;00:00:19;;0,00;€0,00;;;;;;;1;;;
OK;MyES_120x70_1.JPG;;16/05/2025 07:47:04;66,00;116,05;12;0,8000;LIYU PCTK Series;Vinile 360x1440_Standard [IMPRINTING];360x1440;00:00:04;00:00:13;;0,00;€0,00;;;;;;;1;;;
OK;MyES_120x70_2.JPG;;16/05/2025 07:47:53;66,00;116,05;14;0,8000;LIYU PCTK Series;Vinile 360x1440_Standard [IMPRINTING];360x1440;00:00:05;00:00:11;;0,00;€0,00;;;;;;;1;;;
OK;CentroMega_100x70_1.JPG;;16/05/2025 08:15:24;66,00;94,05;4;0,6500;LIYU PCTK Series;Vinile 360x1440_Standard [IMPRINTING];360x1440;00:00:05;00:00:21;;0,00;€0,00;;;;;;;1;;;
OK;CentroMega_100x70_2.JPG;;16/05/2025 08:15:38;66,00;94,05;4;0,6500;LIYU PCTK Series;Vinile 360x1440_Standard [IMPRINTING];360x1440;00:00:02;00:00:21;;0,00;€0,00;;;;;;;1;;;
OK;CentroMega_100x70_3.JPG;;16/05/2025 08:15:51;66,00;94,05;4;0,6500;LIYU PCTK Series;Vinile 360x1440_Standard [IMPRINTING];360x1440;00:00:04;00:00:21;;0,00;€0,00;;;;;;;1;;;
OK;CentroMega_100x70_4.JPG;;16/05/2025 08:16:05;66,00;94,05;4;0,6500;LIYU PCTK Series;Vinile 360x1440_Standard [IMPRINTING];360x1440;00:00:04;00:00:21;;0,00;€0,00;;;;;;;1;;;
OK;CentroMega_100x70_5.JPG;;16/05/2025 08:16:20;66,00;94,05;4;0,6500;LIYU PCTK Series;Vinile 360x1440_Standard [IMPRINTING];360x1440;00:00:04;00:00:21;;0,00;€0,00;;;;;;;1;;;
OK;CentroMega_100x70_6.JPG;;16/05/2025 08:16:35;66,00;94,05;4;0,6500;LIYU PCTK Series;Vinile 360x1440_Standard [IMPRINTING];360x1440;00:00:04;00:00:21;;0,00;€0,00;;;;;;;1;;;
OK;CentroMega_120x70_1.JPG;;16/05/2025 08:30:46;65,85;116,05;6;0,8000;LIYU PCTK Series;Vinile 360x1440_Standard [IMPRINTING];360x1440;00:00:03;00:00:19;;0,00;€0,00;;;;;;;1;;;
OK;CentroMega_120x70_2.JPG;;16/05/2025 08:31:11;65,85;116,05;6;0,8000;LIYU PCTK Series;Vinile 360x1440_Standard [IMPRINTING];360x1440;00:00:02;00:00:19;;0,00;€0,00;;;;;;;1;;;
OK;CentroMega_120x70_3.JPG;;16/05/2025 08:31:36;65,85;116,05;4;0,8000;LIYU PCTK Series;Vinile 360x1440_Standard [IMPRINTING];360x1440;00:00:04;00:00:29;;0,00;€0,00;;;;;;;1;;;
OK;CentroMega_120x70_4.JPG;;16/05/2025 08:31:53;65,85;116,05;4;0,8000;LIYU PCTK Series;Vinile 360x1440_Standard [IMPRINTING];360x1440;00:00:02;00:00:29;;0,00;€0,00;;;;;;;1;;;
OK;CentroMega_120x70_5.JPG;;16/05/2025 08:32:10;65,85;116,05;4;0,8000;LIYU PCTK Series;Vinile 360x1440_Standard [IMPRINTING];360x1440;00:00:06;00:00:29;;0,00;€0,00;;;;;;;1;;;
OK;CentroMega_120x70_6.JPG;;16/05/2025 08:32:27;65,85;116,05;4;0,8000;LIYU PCTK Series;Vinile 360x1440_Standard [IMPRINTING];360x1440;00:00:05;00:00:29;;0,00;€0,00;;;;;;;1;;;
OK;Kia_120x70.JPG;;16/05/2025 08:48:43;66,00;116,05;20;0,8000;LIYU PCTK Series;Vinile 360x1440_Standard [IMPRINTING];360x1440;00:00:02;00:00:04;;0,00;€0,00;;;;;;;1;;;
ERROR;GiBiAuto_100x70_Dacia.JPG;;16/05/2025 09:17:27;66,00;94,05;24;0,6500;LIYU PCTK Series;Vinile 360x1440_Standard [IMPRINTING];360x1440;00:00:02;00:00:01;;0,00;€0,00;;;;;;;1;;;
OK;GiBiAuto_100x70_Dacia.JPG;;16/05/2025 09:19:03;66,00;94,05;14;0,6500;LIYU PCTK Series;Vinile 360x1440_Standard [IMPRINTING];360x1440;00:00:02;00:00:08;;0,00;€0,00;;;;;;;1;;;
OK;GiBiAuto_120x70_Dacia.JPG;;16/05/2025 09:19:52;66,00;116,05;16;0,8000;LIYU PCTK Series;Vinile 360x1440_Standard [IMPRINTING];360x1440;00:00:04;00:00:07;;0,00;€0,00;;;;;;;1;;;
OK;Stellantis_120x70.JPG;;16/05/2025 09:43:19;66,00;116,05;100;76,5500;LIYU PCTK Series;Vinile 360x1440_Standard [IMPRINTING];360x1440;00:00:03;00:06:40;;0,00;€0,00;;;;;;;100;;;
OK;Famila_120x70_1.JPG;;16/05/2025 11:10:44;66,00;116,05;20;0,8000;LIYU PCTK Series;Vinile 360x1440_Standard [IMPRINTING];360x1440;00:00:02;00:00:16;;0,00;€0,00;;;;;;;1;;;
OK;Famila_120x70_2.JPG;;16/05/2025 11:12:06;66,00;116,05;20;0,8000;LIYU PCTK Series;Vinile 360x1440_Standard [IMPRINTING];360x1440;00:00:04;00:00:16;;0,00;€0,00;;;;;;;1;;;
OK;Famila_120x70_3.JPG;;16/05/2025 11:13:28;66,00;116,05;20;0,8000;LIYU PCTK Series;Vinile 360x1440_Standard [IMPRINTING];360x1440;00:00:05;00:00:16;;0,00;€0,00;;;;;;;1;;;
OK;Famila_120x70_4.JPG;;16/05/2025 11:14:53;66,00;116,05;18;0,8000;LIYU PCTK Series;Vinile 360x1440_Standard [IMPRINTING];360x1440;00:00:04;00:00:18;;0,00;€0,00;;;;;;;1;;;
OK;Mignano_120x70.JPG;;16/05/2025 11:19:16;66,00;116,05;12;0,8000;LIYU PCTK Series;Vinile 360x1440_Standard [IMPRINTING];360x1440;00:00:02;00:00:04;;0,00;€0,00;;;;;;;1;;;
OK;CEPU_100x70.JPG;;16/05/2025 11:20:13;66,00;94,05;6;0,6500;LIYU PCTK Series;Vinile 360x1440_Standard [IMPRINTING];360x1440;00:00:03;00:00:15;;0,00;€0,00;;;;;;;1;;;
